Word,Polarity
"adaptable	","	0.6"
"adaptive	","	0.7"
"addict	","	0.3"
"addiction	","	0.3"
"adept	","	0.8"
"adeptly	","	0.7"
"adequate	","	0.6"
"adherence	","	0.6"
"adherent	","	0.6"
"adhesion	","	0.7"
"admirable	","	0.8"
"admirably	","	0.8"
"admiration	","	0.8"
"admire	","	0.8"
"admirer	","	0.7"
"admiring	","	0.7"
"admiringly	","	0.8"
"admission	","	0.8"
"admit	","	0.6"
"admittedly	","	0.6"
"admonish	","	0.4"
"admonisher	","	0.3"
"admonishingly	","	0.3"
"admonishment	","	0.3"
"admonition	","	0.3"
"adolescents	","	0.4"
"adorable	","	0.8"
"adore	","	0.7"
"adored	","	0.8"
"adorer	","	0.7"
"adoring	","	0.8"
"adoringly	","	0.8"
"adrift	","	0.3"
"adroit	","	0.7"
"adroitly	","	0.8"
"adulate	","	0.8"
"adulation	","	0.7"
"adulatory	","	0.7"
"adulterate	","	0.1"
"adulterated	","	0.2"
"adulteration	","	0.3"
"advanced	","	0.8"
"advantage	","	0.8"
"advantageous	","	0.8"
"advantages	","	0.7"
"adventure	","	0.8"
"adventuresome	","	0.7"
"adventurism	","	0.7"
"adventurous	","	0.8"
"adversarial	","	0.2"
"adversary	","	0.3"
"adverse	","	0.2"
"adversity	","	0.2"
"advice	","	0.6"
"advisable	","	0.8"
"advocacy	","	0.7"
"advocate	","	0.7"
"affability	","	0.7"
"affable	","	0.8"
"affably	","	0.7"
"affect	","	0.5"
"affectation	","	0.3"
"affected	","	0.4"
"affection	","	0.8"
"affectionate	","	0.8"
"affinity	","	0.8"
"affirm	","	0.6"
"affirmation	","	0.8"
"affirmative	","	0.8"
"afflict	","	0.1"
"affliction	","	0.1"
"afflictive	","	0.1"
"affluence	","	0.7"
"affluent	","	0.7"
"afford	","	0.6"
"affordable	","	0.7"
"affront	","	0.1"
"afloat	","	0.7"
"afraid	","	0.1"
"against	","	0.3"
"aggravate	","	0.2"
"aggravating	","	0.2"
"aggravation	","	0.2"
"aggression	","	0.2"
"aggressive	","	0.4"
"aggressiveness	","	0.2"
"aggressor	","	0.3"
"aggrieve	","	0.2"
"aggrieved	","	0.2"
"aghast	","	0.3"
"agile	","	0.7"
"agilely	","	0.8"
"agility	","	0.7"
"agitate	","	0.2"
"agitated	","	0.2"
"agitation	","	0.2"
"agitator	","	0.3"
"agonies	","	0.3"
"agonize	","	0.1"
"agonizing	","	0.1"
"agonizingly	","	0.2"
"agony	","	0.1"
"agree	","	0.8"
"agreeability	","	0.8"
"agreeable	","	0.8"
"agreeableness	","	0.8"
"agreeably	","	0.8"
"agreement	","	0.7"
"aha	","	0.4"
"ail	","	0.1"
"ailment	","	0.1"
"aimless	","	0.3"
"air	","	0.4"
"airs	","	0.2"
"alarm	","	0.2"
"alarmed	","	0.1"
"alarming	","	0.1"
"alarmingly	","	0.3"
"alas	","	0.0"
"alert	","	0.6"
"alienate	","	0.4"
"alienated	","	0.2"
"alienation	","	0.2"
"allay	","	0.6"
"allegation	","	0.3"
"allegations	","	0.3"
"allege	","	0.3"
"allegorize	","	0.5"
"allergic	","	0.1"
"alleviate	","	0.7"
"alliance	","	0.5"
"alliances	","	0.5"
"allow	","	0.7"
"allowable	","	0.7"
"all-time	","	0.5"
"allure	","	0.7"
"alluring	","	0.8"
"alluringly	","	0.7"
"allusion	","	0.5"
"allusions	","	0.4"
"ally	","	0.7"
"almighty	","	0.7"
"aloof	","	0.3"
"altercation	","	0.2"
"although	","	0.3"
"altogether	","	0.5"
"altruist	","	0.7"
"altruistic	","	0.9"
"altruistically	","	0.7"
"amaze	","	0.6"
"amazed	","	0.8"
"amazement	","	0.6"
"amazing	","	0.9"
"amazingly	","	0.7"
"ambiguity	","	0.3"
"ambiguous	","	0.2"
"ambitious	","	0.7"
"ambitiously	","	0.7"
"ambivalence	","	0.2"
"ambivalent	","	0.1"
"ambush	","	0.2"
"ameliorate	","	0.7"
"amenable	","	0.7"
"amenity	","	0.8"
"amiability	","	0.8"
"amiabily	","	0.7"
"amiable	","	0.9"
"amicability	","	0.6"
"amicable	","	0.8"
"amicably	","	0.7"
"amiss	","	0.1"
"amity	","	0.5"
"amnesty	","	0.6"
"amour	","	0.7"
"ample	","	0.6"
"amplify	","	0.6"
"amply	","	0.8"
"amputate	","	0.3"
"amuse	","	0.8"
"amusement	","	0.6"
"amusing	","	0.7"
"amusingly	","	0.8"
"analytical	","	0.4"
"anarchism	","	0.3"
"anarchist	","	0.3"
"anarchistic	","	0.3"
"anarchy	","	0.3"
"anemic	","	0.1"
"angel	","	0.7"
"angelic	","	0.8"
"anger	","	0.1"
"angrily	","	0.3"
"angriness	","	0.0"
"angry	","	0.1"
"anguish	","	0.1"
"animated	","	0.8"
"animosity	","	0.3"
"annihilate	","	0.3"
"annihilation	","	0.2"
"annoy	","	0.2"
"annoyance	","	0.1"
"annoyed	","	0.1"
"annoying	","	0.1"
"annoyingly	","	0.2"
"anomalous	","	0.3"
"anomaly	","	0.2"
"antagonism	","	0.2"
"antagonist	","	0.2"
"antagonistic	","	0.2"
"antagonize	","	0.2"
"anti-	","	0.3"
"anti-American	","	0.3"
"anti-Israeli	","	0.3"
"anti-occupation	","	0.3"
"antipathy	","	0.1"
"anti-proliferation	","	0.3"
"antiquated	","	0.2"
"anti-Semites	","	0.3"
"anti-social	","	0.3"
"antithetical	","	0.3"
"anti-US	","	0.3"
"anti-white	","	0.3"
"anxieties	","	0.3"
"anxiety	","	0.2"
"anxious	","	0.2"
"anxiously	","	0.2"
"anxiousness	","	0.2"
"anyhow	","	0.5"
"anyway	","	0.4"
"anyways	","	0.4"
"apathetic	","	0.1"
"apathetically	","	0.3"
"apathy	","	0.1"
"ape	","	0.1"
"apocalypse	","	0.4"
"apocalyptic	","	0.3"
"apologist	","	0.2"
"apologists	","	0.2"
"apostle	","	0.7"
"apotheosis	","	0.9"
"appal	","	0.2"
"appall	","	0.2"
"appalled	","	0.2"
"appalling	","	0.1"
"appallingly	","	0.2"
"apparent	","	0.6"
"apparently	","	0.5"
"appeal	","	0.8"
"appealing	","	0.7"
"appear	","	0.4"
"appearance	","	0.4"
"appease	","	0.8"
"applaud	","	0.6"
"appreciable	","	0.6"
"appreciate	","	0.8"
"appreciation	","	0.8"
"appreciative	","	0.8"
"appreciatively	","	0.7"
"appreciativeness	","	0.6"
"apprehend	","	0.5"
"apprehension	","	0.1"
"apprehensions	","	0.3"
"apprehensive	","	0.1"
"apprehensively	","	0.3"
"appropriate	","	0.7"
"approval	","	0.8"
"approve	","	0.7"
"apt	","	0.5"
"aptitude	","	0.6"
"aptly	","	0.7"
"arbitrary	","	0.2"
"arcane	","	0.3"
"archaic	","	0.2"
"ardent	","	0.7"
"ardently	","	0.7"
"ardor	","	0.7"
"arduous	","	0.1"
"arduously	","	0.4"
"argue	","	0.2"
"argument	","	0.2"
"argumentative	","	0.3"
"arguments	","	0.2"
"aristocratic	","	0.7"
"arousal	","	0.7"
"arouse	","	0.7"
"arousing	","	0.6"
"arresting	","	0.7"
"arrogance	","	0.3"
"arrogant	","	0.2"
"arrogantly	","	0.2"
"articulate	","	0.5"
"artificial	","	0.1"
"ascendant	","	0.7"
"ascertainable	","	0.8"
"ashamed	","	0.0"
"asinine	","	0.3"
"asininely	","	0.3"
"asinininity	","	0.3"
"askance	","	0.2"
"asperse	","	0.3"
"aspersion	","	0.3"
"aspersions	","	0.3"
"aspiration	","	0.7"
"aspirations	","	0.7"
"aspire	","	0.7"
"assail	","	0.2"
"assassin	","	0.2"
"assassinate	","	0.4"
"assault	","	0.1"
"assent	","	0.7"
"assertions	","	0.6"
"assertive	","	0.8"
"assess	","	0.5"
"assessment	","	0.5"
"assessments	","	0.5"
"asset	","	0.8"
"assiduous	","	0.7"
"assiduously	","	0.7"
"assuage	","	0.9"
"assumption	","	0.4"
"assurance	","	0.7"
"assurances	","	0.6"
"assure	","	0.8"
"assuredly	","	0.6"
"astonish	","	0.6"
"astonished	","	0.8"
"astonishing	","	0.8"
"astonishingly	","	0.7"
"astonishment	","	0.6"
"astound	","	0.7"
"astounded	","	0.8"
"astounding	","	0.8"
"astoundingly	","	0.6"
"astray	","	0.2"
"astronomic	","	0.5"
"astronomical	","	0.5"
"astronomically	","	0.4"
"astute	","	0.8"
"astutely	","	0.7"
"asunder	","	0.3"
"asylum	","	0.5"
"atrocious	","	0.0"
"atrocities	","	0.2"
"atrocity	","	0.0"
"atrophy	","	0.2"
"attack	","	0.1"
"attain	","	0.7"
"attainable	","	0.8"
"attentive	","	0.8"
"attest	","	0.8"
"attitude	","	0.5"
"attitudes	","	0.5"
"attraction	","	0.7"
"attractive	","	0.8"
"attractively	","	0.7"
"attune	","	0.7"
"audacious	","	0.4"
"audaciously	","	0.3"
"audaciousness	","	0.2"
"audacity	","	0.2"
"auspicious	","	0.8"
"austere	","	0.4"
"authentic	","	0.8"
"authoritarian	","	0.3"
"authoritative	","	0.7"
"autocrat	","	0.3"
"autocratic	","	0.3"
"autonomous	","	0.7"
"avalanche	","	0.3"
"avarice	","	0.2"
"avaricious	","	0.3"
"avariciously	","	0.2"
"avenge	","	0.2"
"aver	","	0.7"
"averse	","	0.3"
"aversion	","	0.2"
"avid	","	0.7"
"avidly	","	0.7"
"avoid	","	0.1"
"avoidance	","	0.4"
"award	","	0.8"
"aware	","	0.6"
"awareness	","	0.6"
"awe	","	0.8"
"awed	","	0.8"
"awesome	","	0.9"
"awesomely	","	0.7"
"awesomeness	","	0.7"
"awestruck	","	0.8"
"awful	","	0.2"
"awfully	","	0.1"
"awfulness	","	0.2"
"awkward	","	0.1"
"awkwardness	","	0.2"
"ax	","	0.3"
"babble	","	0.2"
"baby	","	0.5"
"back	","	0.8"
"backbite	","	0.3"
"backbiting	","	0.3"
"backbone	","	0.6"
"backward	","	0.3"
"backwardness	","	0.2"
"bad	","	0.0"
"badly	","	0.0"
"baffle	","	0.2"
"baffled	","	0.1"
"bafflement	","	0.2"
"baffling	","	0.1"
"bait	","	0.2"
"balanced	","	0.7"
"balk	","	0.2"
"banal	","	0.1"
"banalize	","	0.3"
"bane	","	0.1"
"banish	","	0.2"
"banishment	","	0.3"
"bankrupt	","	0.1"
"bar	","	0.2"
"barbarian	","	0.3"
"barbaric	","	0.1"
"barbarically	","	0.3"
"barbarity	","	0.1"
"barbarous	","	0.1"
"barbarously	","	0.3"
"barely	","	0.1"
"bargain	","	0.7"
"barren	","	0.1"
"baseless	","	0.1"
"bashful	","	0.3"
"basic	","	0.7"
"basically	","	0.5"
"bask	","	0.7"
"bastard	","	0.1"
"batons	","	0.5"
"battered	","	0.1"
"battering	","	0.2"
"battle	","	0.2"
"battlefield	","	0.2"
"battleground	","	0.3"
"battle-lines	","	0.3"
"batty	","	0.2"
"beacon	","	0.7"
"bearish	","	0.2"
"beast	","	0.2"
"beastly	","	0.2"
"beatify	","	0.7"
"beauteous	","	0.7"
"beautiful	","	0.8"
"beautifully	","	0.8"
"beautify	","	0.8"
"beauty	","	0.8"
"bedlam	","	0.2"
"bedlamite	","	0.3"
"befit	","	0.7"
"befitting	","	0.7"
"befoul	","	0.2"
"befriend	","	0.7"
"beg	","	0.1"
"beggar	","	0.2"
"beggarly	","	0.1"
"begging	","	0.2"
"beguile	","	0.4"
"belabor	","	0.2"
"belated	","	0.2"
"beleaguer	","	0.3"
"belie	","	0.2"
"belief	","	0.4"
"beliefs	","	0.5"
"believable	","	0.8"
"believe	","	0.5"
"belittle	","	0.3"
"belittled	","	0.3"
"belittling	","	0.2"
"bellicose	","	0.3"
"belligerence	","	0.2"
"belligerent	","	0.3"
"belligerently	","	0.3"
"beloved	","	0.8"
"bemoan	","	0.2"
"bemoaning	","	0.2"
"bemused	","	0.1"
"benefactor	","	0.7"
"beneficent	","	0.8"
"beneficial	","	0.8"
"beneficially	","	0.8"
"beneficiary	","	0.7"
"benefit	","	0.8"
"benefits	","	0.7"
"benevolence	","	0.8"
"benevolent	","	0.8"
"benign	","	0.6"
"bent	","	0.3"
"berate	","	0.1"
"bereave	","	0.2"
"bereavement	","	0.2"
"bereft	","	0.1"
"berserk	","	0.2"
"beseech	","	0.3"
"beset	","	0.3"
"besides	","	0.4"
"besiege	","	0.1"
"besmirch	","	0.3"
"best	","	0.8"
"bestial	","	0.2"
"best-known	","	0.6"
"best-performing	","	0.7"
"best-selling	","	0.7"
"betray	","	0.2"
"betrayal	","	0.2"
"betrayals	","	0.3"
"betrayer	","	0.2"
"better	","	0.8"
"better-known	","	0.6"
"better-than-expected	","	0.7"
"bewail	","	0.1"
"beware	","	0.3"
"bewilder	","	0.2"
"bewildered	","	0.2"
"bewildering	","	0.2"
"bewilderingly	","	0.2"
"bewilderment	","	0.2"
"bewitch	","	0.4"
"bias	","	0.1"
"biased	","	0.2"
"biases	","	0.3"
"bicker	","	0.2"
"bickering	","	0.2"
"bid-rigging	","	0.3"
"big	","	0.6"
"bitch	","	0.1"
"bitchy	","	0.1"
"biting	","	0.1"
"bitingly	","	0.2"
"bitter	","	0.1"
"bitterly	","	0.1"
"bitterness	","	0.2"
"bizarre	","	0.2"
"blab	","	0.3"
"blabber	","	0.2"
"black	","	0.1"
"blackmail	","	0.2"
"blah	","	0.2"
"blame	","	0.0"
"blameless	","	0.7"
"blameworthy	","	0.1"
"bland	","	0.1"
"blandish	","	0.4"
"blaspheme	","	0.3"
"blasphemous	","	0.1"
"blasphemy	","	0.3"
"blast	","	0.4"
"blasted	","	0.2"
"blatant	","	0.1"
"blatantly	","	0.2"
"blather	","	0.2"
"bleak	","	0.2"
"bleakly	","	0.2"
"bleakness	","	0.3"
"bleed	","	0.2"
"blemish	","	0.1"
"bless	","	0.6"
"blessing	","	0.7"
"blind	","	0.1"
"blinding	","	0.4"
"blindingly	","	0.3"
"blindness	","	0.3"
"blindside	","	0.1"
"bliss	","	0.9"
"blissful	","	0.7"
"blissfully	","	0.7"
"blister	","	0.2"
"blistering	","	0.1"
"blithe	","	0.8"
"bloated	","	0.2"
"block	","	0.1"
"blockhead	","	0.1"
"blood	","	0.3"
"bloodshed	","	0.2"
"bloodthirsty	","	0.1"
"bloody	","	0.2"
"bloom	","	0.8"
"blossom	","	0.7"
"blow	","	0.1"
"blunder	","	0.2"
"blundering	","	0.3"
"blunders	","	0.2"
"blunt	","	0.4"
"blur	","	0.2"
"blurt	","	0.2"
"boast	","	0.4"
"boastful	","	0.3"
"boggle	","	0.2"
"bogus	","	0.1"
"boil	","	0.1"
"boiling	","	0.2"
"boisterous	","	0.2"
"bold	","	0.8"
"boldly	","	0.7"
"boldness	","	0.8"
"bolster	","	0.7"
"bomb	","	0.2"
"bombard	","	0.2"
"bombardment	","	0.2"
"bombastic	","	0.2"
"bondage	","	0.3"
"bonkers	","	0.2"
"bonny	","	0.7"
"bonus	","	0.8"
"boom	","	0.7"
"booming	","	0.7"
"boost	","	0.7"
"bore	","	0.2"
"boredom	","	0.1"
"boring	","	0.1"
"botch	","	0.1"
"boundless	","	0.7"
"bountiful	","	0.8"
"bowdlerize	","	0.3"
"boycott	","	0.2"
"brag	","	0.6"
"braggart	","	0.2"
"bragger	","	0.3"
"brains	","	0.6"
"brainwash	","	0.2"
"brainy	","	0.8"
"brash	","	0.2"
"brashly	","	0.3"
"brashness	","	0.3"
"brat	","	0.1"
"bravado	","	0.3"
"brave	","	0.6"
"bravery	","	0.6"
"brazen	","	0.4"
"brazenly	","	0.3"
"brazenness	","	0.2"
"breach	","	0.3"
"break	","	0.4"
"breakdown	","	0.2"
"break-point	","	0.3"
"breakthrough	","	0.8"
"breakthroughs	","	0.7"
"breathlessness	","	0.6"
"breathtaking	","	0.7"
"breathtakingly	","	0.7"
"bright	","	0.6"
"brighten	","	0.7"
"brightness	","	0.7"
"brilliance	","	0.8"
"brilliant	","	0.9"
"brilliantly	","	0.6"
"brimstone	","	0.3"
"brisk	","	0.8"
"bristle	","	0.3"
"brittle	","	0.2"
"broad	","	0.8"
"broad-based	","	0.5"
"broke	","	0.2"
"broken-hearted	","	0.3"
"brood	","	0.1"
"brook	","	0.6"
"brotherly	","	0.8"
"browbeat	","	0.3"
"bruise	","	0.2"
"brusque	","	0.3"
"brutal	","	0.2"
"brutalising	","	0.3"
"brutalities	","	0.3"
"brutality	","	0.3"
"brutalize	","	0.1"
"brutalizing	","	0.2"
"brutally	","	0.3"
"brute	","	0.2"
"brutish	","	0.2"
"buckle	","	0.3"
"bug	","	0.2"
"bulky	","	0.3"
"bull	","	0.5"
"bullies	","	0.3"
"bullish	","	0.8"
"bully	","	0.3"
"bullyingly	","	0.3"
"bum	","	0.1"
"bumpy	","	0.1"
"bungle	","	0.1"
"bungler	","	0.3"
"bunk	","	0.2"
"buoyant	","	0.8"
"burden	","	0.1"
"burdensome	","	0.2"
"burdensomely	","	0.3"
"burn	","	0.0"
"busy	","	0.1"
"busybody	","	0.3"
"butcher	","	0.2"
"butchery	","	0.1"
"byzantine	","	0.3"
"cackle	","	0.2"
"cajole	","	0.3"
"calamities	","	0.3"
"calamitous	","	0.1"
"calamitously	","	0.3"
"calamity	","	0.2"
"callous	","	0.2"
"calm	","	0.8"
"calming	","	0.7"
"calmness	","	0.8"
"calumniate	","	0.3"
"calumniation	","	0.1"
"calumnies	","	0.3"
"calumnious	","	0.1"
"calumniously	","	0.3"
"calumny	","	0.1"
"cancer	","	0.2"
"cancerous	","	0.2"
"candid	","	0.7"
"candor	","	0.7"
"cannibal	","	0.2"
"cannibalize	","	0.2"
"capability	","	0.8"
"capable	","	0.6"
"capably	","	0.8"
"capitalize	","	0.6"
"capitulate	","	0.3"
"capricious	","	0.4"
"capriciously	","	0.2"
"capriciousness	","	0.4"
"capsize	","	0.3"
"captivate	","	0.8"
"captivating	","	0.8"
"captivation	","	0.7"
"captive	","	0.2"
"care	","	0.5"
"carefree	","	0.8"
"careful	","	0.8"
"careless	","	0.1"
"carelessness	","	0.2"
"caricature	","	0.2"
"carnage	","	0.2"
"carp	","	0.3"
"cartoon	","	0.2"
"cartoonish	","	0.2"
"cash-strapped	","	0.3"
"castigate	","	0.1"
"casualty	","	0.1"
"cataclysm	","	0.1"
"cataclysmal	","	0.1"
"cataclysmic	","	0.1"
"cataclysmically	","	0.3"
"catalyst	","	0.7"
"catastrophe	","	0.1"
"catastrophes	","	0.3"
"catastrophic	","	0.1"
"catastrophically	","	0.1"
"catchy	","	0.7"
"caustic	","	0.2"
"caustically	","	0.3"
"cautionary	","	0.2"
"cautious	","	0.4"
"cave	","	0.2"
"ceaseless	","	0.4"
"celebrate	","	0.7"
"celebrated	","	0.7"
"celebration	","	0.7"
"celebratory	","	0.7"
"celebrity	","	0.7"
"censure	","	0.1"
"central	","	0.5"
"certain	","	0.6"
"certainly	","	0.5"
"certified	","	0.6"
"chafe	","	0.2"
"chaff	","	0.2"
"chagrin	","	0.2"
"challenge	","	0.3"
"challenging	","	0.4"
"champ	","	0.6"
"champion	","	0.7"
"chant	","	0.4"
"chaos	","	0.2"
"chaotic	","	0.1"
"charisma	","	0.2"
"charismatic	","	0.8"
"charitable	","	0.7"
"charity	","	0.8"
"charm	","	0.8"
"charming	","	0.9"
"charmingly	","	0.8"
"chaste	","	0.8"
"chasten	","	0.1"
"chastise	","	0.1"
"chastisement	","	0.2"
"chatter	","	0.3"
"chatterbox	","	0.2"
"cheap	","	0.0"
"cheapen	","	0.2"
"cheat	","	0.4"
"cheater	","	0.2"
"cheer	","	0.8"
"cheerful	","	0.8"
"cheerless	","	0.2"
"cheery	","	0.8"
"cherish	","	0.7"
"cherished	","	0.8"
"cherub	","	0.6"
"chic	","	0.8"
"chide	","	0.1"
"childish	","	0.2"
"chill	","	0.2"
"chilly	","	0.1"
"chit	","	0.3"
"chivalrous	","	0.7"
"chivalry	","	0.8"
"choke	","	0.2"
"choppy	","	0.1"
"chore	","	0.2"
"chronic	","	0.2"
"chum	","	0.6"
"civil	","	0.7"
"civility	","	0.7"
"civilization	","	0.8"
"civilize	","	0.7"
"claim	","	0.4"
"clamor	","	0.2"
"clamorous	","	0.2"
"clandestine	","	0.5"
"clarity	","	0.7"
"clash	","	0.2"
"classic	","	0.8"
"clean	","	0.7"
"cleanliness	","	0.8"
"cleanse	","	0.5"
"clear	","	0.8"
"clear-cut	","	0.8"
"clearer	","	0.7"
"clearly	","	0.7"
"clever	","	0.8"
"cliche	","	0.2"
"cliched	","	0.1"
"clique	","	0.3"
"clog	","	0.2"
"close	","	0.4"
"closeness	","	0.8"
"cloud	","	0.1"
"clout	","	0.6"
"clumsy	","	0.0"
"coarse	","	0.2"
"coax	","	0.8"
"cocky	","	0.3"
"coddle	","	0.7"
"coerce	","	0.3"
"coercion	","	0.3"
"coercive	","	0.3"
"cogent	","	0.7"
"cogitate	","	0.5"
"cognizance	","	0.6"
"cognizant	","	0.6"
"cohere	","	0.6"
"coherence	","	0.8"
"coherent	","	0.8"
"cohesion	","	0.6"
"cohesive	","	0.6"
"cold	","	0.3"
"coldly	","	0.3"
"collapse	","	0.4"
"collide	","	0.3"
"collude	","	0.2"
"collusion	","	0.3"
"colorful	","	0.7"
"colossal	","	0.6"
"combative	","	0.3"
"comeback	","	0.7"
"comedy	","	0.3"
"comely	","	0.8"
"comfort	","	0.5"
"comfortable	","	0.7"
"comfortably	","	0.6"
"comforting	","	0.7"
"comical	","	0.3"
"commend	","	0.7"
"commendable	","	0.8"
"commendably	","	0.6"
"commensurate	","	0.7"
"comment	","	0.4"
"commentator	","	0.4"
"commiserate	","	0.3"
"commitment	","	0.8"
"commodious	","	0.7"
"commonplace	","	0.4"
"commonsense	","	0.8"
"commonsensible	","	0.8"
"commonsensibly	","	0.7"
"commonsensical	","	0.8"
"commotion	","	0.2"
"compact	","	0.8"
"compassion	","	0.5"
"compassionate	","	0.7"
"compatible	","	0.8"
"compel	","	0.3"
"compelling	","	0.7"
"compensate	","	0.7"
"competence	","	0.7"
"competency	","	0.7"
"competent	","	0.8"
"competitive	","	0.7"
"competitiveness	","	0.7"
"complacent	","	0.3"
"complain	","	0.1"
"complaining	","	0.1"
"complaint	","	0.2"
"complaints	","	0.3"
"complement	","	0.7"
"complete	","	0.6"
"completely	","	0.5"
"complex	","	0.3"
"compliant	","	0.7"
"complicate	","	0.2"
"complicated	","	0.2"
"complication	","	0.3"
"complicit	","	0.3"
"compliment	","	0.8"
"complimentary	","	0.8"
"comprehend	","	0.5"
"comprehensive	","	0.7"
"compromise	","	0.7"
"compromises	","	0.7"
"compulsion	","	0.3"
"compulsive	","	0.2"
"compulsory	","	0.4"
"comrades	","	0.7"
"concede	","	0.2"
"conceit	","	0.1"
"conceited	","	0.1"
"conceivable	","	0.6"
"concern	","	0.1"
"concerned	","	0.2"
"concerning	","	0.5"
"concerns	","	0.3"
"concerted	","	0.4"
"concession	","	0.3"
"concessions	","	0.2"
"conciliate	","	0.8"
"conciliatory	","	0.6"
"conclusive	","	0.7"
"concrete	","	0.7"
"concur	","	0.7"
"condemn	","	0.2"
"condemnable	","	0.1"
"condemnation	","	0.2"
"condescend	","	0.4"
"condescending	","	0.2"
"condescendingly	","	0.4"
"condescension	","	0.2"
"condolence	","	0.3"
"condolences	","	0.2"
"condone	","	0.7"
"conducive	","	0.7"
"confer	","	0.7"
"confess	","	0.2"
"confession	","	0.3"
"confessions	","	0.3"
"confide	","	0.6"
"confidence	","	0.8"
"confident	","	0.6"
"conflict	","	0.2"
"confound	","	0.2"
"confounded	","	0.1"
"confounding	","	0.1"
"confront	","	0.2"
"confrontation	","	0.2"
"confrontational	","	0.3"
"confuse	","	0.1"
"confused	","	0.1"
"confusing	","	0.1"
"confusion	","	0.2"
"confute	","	0.6"
"congenial	","	0.8"
"congested	","	0.3"
"congestion	","	0.1"
"congratulate	","	0.5"
"congratulations	","	0.9"
"congratulatory	","	0.7"
"conjecture	","	0.5"
"conquer	","	0.7"
"conscience	","	0.4"
"conscientious	","	0.6"
"consciousness	","	0.5"
"consensus	","	0.6"
"consent	","	0.6"
"consequently	","	0.4"
"consider	","	0.6"
"considerable	","	0.5"
"considerably	","	0.5"
"considerate	","	0.7"
"consideration	","	0.6"
"consistent	","	0.7"
"console	","	0.7"
"conspicuous	","	0.4"
"conspicuously	","	0.3"
"conspiracies	","	0.2"
"conspiracy	","	0.2"
"conspirator	","	0.3"
"conspiratorial	","	0.3"
"conspire	","	0.3"
"constancy	","	0.8"
"consternation	","	0.2"
"constitutions	","	0.5"
"constrain	","	0.3"
"constraint	","	0.3"
"constructive	","	0.8"
"consume	","	0.2"
"consummate	","	0.8"
"contagious	","	0.3"
"contaminate	","	0.3"
"contamination	","	0.2"
"contemplate	","	0.5"
"contempt	","	0.1"
"contemptible	","	0.1"
"contemptuous	","	0.2"
"contemptuously	","	0.4"
"contend	","	0.3"
"content	","	0.7"
"contention	","	0.3"
"contentious	","	0.3"
"contentment	","	0.7"
"continuity	","	0.6"
"continuous	","	0.4"
"contort	","	0.2"
"contortions	","	0.3"
"contradict	","	0.2"
"contradiction	","	0.2"
"contradictory	","	0.1"
"contrariness	","	0.1"
